mc_trial,method,precision,recall,f1,accuracy,tp,tn,fp,fn
31,depth.RPp,0.5964912280701754,0.7555555555555555,0.6666666666666666,0.8866666666666667,34,232,23,11
31,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
32,depth.FMp,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.89,24,243,12,21
32,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
32,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
32,depth.RPp,0.5,0.4666666666666667,0.4827586206896552,0.85,21,234,21,24
32,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
33,depth.FMp,0.9545454545454546,0.4666666666666667,0.6268656716417911,0.9166666666666666,21,254,1,24
33,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
33,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
33,depth.RPp,1.0,0.4222222222222222,0.59375,0.9133333333333333,19,255,0,26
33,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
34,depth.FMp,0.6585365853658537,0.6,0.627906976744186,0.8933333333333333,27,241,14,18
34,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
34,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
34,depth.RPp,0.72,0.4,0.5142857142857142,0.8866666666666667,18,248,7,27
34,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
35,depth.FMp,0.8275862068965517,0.5333333333333333,0.6486486486486487,0.9133333333333333,24,250,5,21
35,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
35,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
35,depth.RPp,0.6458333333333334,0.6888888888888889,0.6666666666666667,0.8966666666666666,31,238,17,14
35,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
36,depth.FMp,0.723404255319149,0.7555555555555555,0.7391304347826088,0.92,34,242,13,11
36,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
36,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
36,depth.RPp,0.8571428571428571,0.4,0.5454545454545455,0.9,18,252,3,27
36,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
37,depth.FMp,0.5901639344262295,0.8,0.6792452830188679,0.8866666666666667,36,230,25,9
37,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
37,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
37,depth.RPp,0.717948717948718,0.6222222222222222,0.6666666666666666,0.9066666666666666,28,244,11,17
37,WICMAD,0.0,0.0,0.0,0.85,0,255,0,45
38,depth.FMp,0.9259259259259259,0.5555555555555556,0.6944444444444444,0.9266666666666666,25,253,2,20
38,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
38,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
38,depth.RPp,0.96,0.5333333333333333,0.6857142857142858,0.9266666666666666,24,254,1,21
38,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
39,depth.FMp,0.7666666666666667,0.5111111111111111,0.6133333333333334,0.9033333333333333,23,248,7,22
39,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
39,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
39,depth.RPp,0.55,0.7333333333333333,0.6285714285714286,0.87,33,228,27,12
39,WICMAD,1.0,0.9777777777777777,0.9887640449438202,0.9966666666666667,44,255,0,1
40,depth.FMp,0.45454545454545453,0.5555555555555556,0.5,0.8333333333333334,25,225,30,20
40,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
40,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
40,depth.RPp,0.31666666666666665,0.8444444444444444,0.4606060606060606,0.7033333333333334,38,173,82,7
40,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
41,depth.FMp,0.6,0.6,0.6,0.88,27,237,18,18
41,mrfDepth.fOutl,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
41,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
41,depth.RPp,0.4444444444444444,0.6222222222222222,0.5185185185185185,0.8266666666666667,28,220,35,17
41,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
42,depth.FMp,0.9523809523809523,0.4444444444444444,0.6060606060606061,0.9133333333333333,20,254,1,25
42,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
42,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
42,depth.RPp,0.7,0.4666666666666667,0.56,0.89,21,246,9,24
42,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
43,depth.FMp,0.8,0.4444444444444444,0.5714285714285714,0.9,20,250,5,25
43,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
43,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
43,depth.RPp,0.4807692307692308,0.5555555555555556,0.5154639175257731,0.8433333333333334,25,228,27,20
43,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
44,depth.FMp,0.68,0.37777777777777777,0.48571428571428565,0.88,17,247,8,28
44,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
44,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
44,depth.RPp,0.3225806451612903,0.8888888888888888,0.4733727810650888,0.7033333333333334,40,171,84,5
44,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
