mc_trial,method,variant,precision,recall,f1,accuracy,tp,tn,fp,fn
65,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
66,depth.FM,raw,0.19230769230769232,0.7777777777777778,0.3083700440528635,0.4766666666666667,35,108,147,10
66,depth.mode,raw,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
66,depth.RT,raw,0.7068965517241379,0.9111111111111111,0.7961165048543689,0.93,41,238,17,4
66,depth.RP,raw,0.33884297520661155,0.9111111111111111,0.49397590361445787,0.72,41,175,80,4
66,depth.RPD,raw,0.9487179487179487,0.8222222222222222,0.8809523809523809,0.9666666666666667,37,253,2,8
66,WICMAD,raw,0.0,0.0,0.0,0.85,0,255,0,45
66,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
67,depth.FM,raw,0.20930232558139536,0.6,0.3103448275862069,0.6,27,153,102,18
67,depth.mode,raw,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
67,depth.RT,raw,0.7037037037037037,0.8444444444444444,0.7676767676767676,0.9233333333333333,38,239,16,7
67,depth.RP,raw,0.34146341463414637,0.9333333333333333,0.5,0.72,42,174,81,3
67,depth.RPD,raw,0.9512195121951219,0.8666666666666667,0.9069767441860465,0.9733333333333334,39,253,2,6
67,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
67,WICMAD,deriv,1.0,0.06666666666666667,0.125,0.86,3,255,0,42
68,depth.FM,raw,0.18478260869565216,0.7555555555555555,0.29694323144104806,0.4633333333333333,34,105,150,11
68,depth.mode,raw,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
68,depth.RT,raw,0.7096774193548387,0.9777777777777777,0.8224299065420562,0.9366666666666666,44,237,18,1
68,depth.RP,raw,0.4588235294117647,0.8666666666666667,0.6,0.8266666666666667,39,209,46,6
68,depth.RPD,raw,1.0,1.0,1.0,1.0,45,255,0,0
68,WICMAD,raw,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
68,WICMAD,deriv,0.0,0.0,0.0,0.8466666666666667,0,254,1,45
69,depth.FM,raw,0.20958083832335328,0.7777777777777778,0.33018867924528306,0.5266666666666666,35,123,132,10
69,depth.mode,raw,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
69,depth.RT,raw,0.6949152542372882,0.9111111111111111,0.7884615384615385,0.9266666666666666,41,237,18,4
69,depth.RP,raw,0.425,0.7555555555555555,0.5439999999999999,0.81,34,209,46,11
69,depth.RPD,raw,0.9767441860465116,0.9333333333333333,0.9545454545454545,0.9866666666666667,42,254,1,3
69,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
69,WICMAD,deriv,1.0,0.044444444444444446,0.0851063829787234,0.8566666666666667,2,255,0,43
70,depth.FM,raw,0.20786516853932585,0.8222222222222222,0.33183856502242154,0.5033333333333333,37,114,141,8
70,depth.mode,raw,1.0,0.9777777777777777,0.9887640449438202,0.9966666666666667,44,255,0,1
70,depth.RT,raw,0.8723404255319149,0.9111111111111111,0.891304347826087,0.9666666666666667,41,249,6,4
70,depth.RP,raw,0.5,0.7555555555555555,0.6017699115044248,0.85,34,221,34,11
70,depth.RPD,raw,0.9772727272727273,0.9555555555555556,0.9662921348314608,0.99,43,254,1,2
70,WICMAD,raw,1.0,0.044444444444444446,0.0851063829787234,0.8566666666666667,2,255,0,43
70,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
71,depth.FM,raw,0.25252525252525254,0.5555555555555556,0.34722222222222227,0.6866666666666666,25,181,74,20
71,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
71,depth.RT,raw,0.7843137254901961,0.8888888888888888,0.8333333333333334,0.9466666666666667,40,244,11,5
71,depth.RP,raw,0.38202247191011235,0.7555555555555555,0.5074626865671642,0.78,34,200,55,11
71,depth.RPD,raw,0.9361702127659575,0.9777777777777777,0.9565217391304347,0.9866666666666667,44,252,3,1
71,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
71,WICMAD,deriv,1.0,0.022222222222222223,0.04347826086956522,0.8533333333333334,1,255,0,44
