mc_trial,method,precision,recall,f1,accuracy,tp,tn,fp,fn
32,depth.FMp,0.41935483870967744,0.5777777777777777,0.4859813084112149,0.8166666666666667,26,219,36,19
32,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
32,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
32,depth.RPp,0.3333333333333333,0.4666666666666667,0.3888888888888889,0.78,21,213,42,24
32,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
33,depth.FMp,0.7894736842105263,0.3333333333333333,0.46875,0.8866666666666667,15,251,4,30
33,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
33,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
33,depth.RPp,0.4411764705882353,0.3333333333333333,0.37974683544303794,0.8366666666666667,15,236,19,30
33,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
34,depth.FMp,0.5,0.5555555555555556,0.5263157894736842,0.85,25,230,25,20
34,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
34,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
34,depth.RPp,0.5483870967741935,0.37777777777777777,0.4473684210526315,0.86,17,241,14,28
34,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
35,depth.FMp,0.5357142857142857,0.6666666666666666,0.594059405940594,0.8633333333333333,30,229,26,15
35,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
35,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
35,depth.RPp,0.37037037037037035,0.4444444444444444,0.404040404040404,0.8033333333333333,20,221,34,25
35,WICMAD,0.0,0.0,0.0,0.85,0,255,0,45
36,depth.FMp,0.574468085106383,0.6,0.5869565217391305,0.8733333333333333,27,235,20,18
36,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
36,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
36,depth.RPp,0.3076923076923077,0.6222222222222222,0.411764705882353,0.7333333333333333,28,192,63,17
36,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
37,depth.FMp,0.75,0.5333333333333333,0.6233766233766235,0.9033333333333333,24,247,8,21
37,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
37,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
37,depth.RPp,0.36231884057971014,0.5555555555555556,0.43859649122807015,0.7866666666666666,25,211,44,20
37,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
38,depth.FMp,0.8181818181818182,0.4,0.537313432835821,0.8966666666666666,18,251,4,27
38,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
38,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
38,depth.RPp,0.2857142857142857,0.6222222222222222,0.3916083916083916,0.71,28,185,70,17
38,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
39,depth.FMp,0.68,0.37777777777777777,0.48571428571428565,0.88,17,247,8,28
39,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
39,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
39,depth.RPp,0.22695035460992907,0.7111111111111111,0.34408602150537637,0.5933333333333334,32,146,109,13
39,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
40,depth.FMp,0.43137254901960786,0.4888888888888889,0.45833333333333326,0.8266666666666667,22,226,29,23
40,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
40,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
40,depth.RPp,0.28,0.6222222222222222,0.3862068965517242,0.7033333333333334,28,183,72,17
40,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
41,depth.FMp,0.4888888888888889,0.4888888888888889,0.4888888888888889,0.8466666666666667,22,232,23,23
41,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
41,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
